student_name,year,month,day,sample_id,sample_group,sample_dilution_id,dna_concentration_ng_ul,sample_type_culture_or_culturefree,notes
Jacinda Chen,2019,9,10,5F,Individual,1,7.51,culture,
Jacinda Chen,2019,9,10,6Fo,Individual,1,5.66,culture,
Jacinda Chen,2019,9,10,6Fp,Individual,1,9.05,culture,
Jacinda Chen,2019,11,10,1A,Communal,1,5.37,culture free,
Jacinda Chen,2019,11,10,2A,Communal,1,6.73,culture free,
Jacinda Chen,2019,11,10,3A,Communal,1,5.95,culture free,
Jacinda Chen,2019,11,10,4A,Individual,1,6.5,culture free,
Jacinda Chen,2019,11,10,5A,Individual,1,5.5,culture free,
Jacinda Chen,2019,11,10,6A,Individual,1,5.96,culture free,
Konstantinos,2019,9,10,4a,Old Olive Tree,100,8.3,culture,4a 1:100
Konstantinos,2019,9,10,6a,Old Olive Tree,10,6.02,culture,6a 1:10
Konstantinos,2019,9,10,5a,Old Olive Tree,100,4.27,culture,5a 1:100 (a)
Konstantinos,2019,9,10,6a,Old Olive Tree,100,5.64,culture,6a 1:100 (a)
Konstantinos,2019,9,10,5a,Old Olive Tree,100,7.91,culture,5a 1:100 (b)
Konstantinos,2019,9,10,6a,Old Olive Tree,100,5.52,culture,6a 1:100 (b)
Konstantinos,2019,9,10,1b,Young Olive Tree,1,9.39,culture free,
Konstantinos,2019,9,10,2b,Young Olive Tree,1,4.99,culture free,
Konstantinos,2019,9,10,3b,Young Olive Tree,1,6.43,culture free,
Konstantinos,2019,9,10,4b,Old Olive Tree,1,9.28,culture free,
Konstantinos,2019,9,10,5b,Old Olive Tree,1,7.17,culture free,
Konstantinos,2019,9,10,6b,Old Olive Tree,1,11.5,culture free,
Pierce Venable,2019,9,10,OB 2,Ocean Beach,1,4.42,culture,Sample A of OB 2
Pierce Venable,2019,9,10,OB 2,Ocean Beach,1,7.58,culture,Sample A' of OB 2; the colony next to Sample A
Pierce Venable,2019,9,10,OB 2,Ocean Beach,1,5.27,culture,Sample B of OB 2; the colony opposite side and separate from colonies sample A and A' were taken from
Pierce Venable,2019,9,17,FW 1,Fisherman's Wharf,1,NA,culture,
Pierce Venable,2019,9,17,FW 2,Fisherman's Wharf,1,NA,culture,
Pierce Venable,2019,9,17,FW 3,Fisherman's Wharf,10,1.42,culture,
Pierce Venable,2019,9,17,FW 1,Fisherman's Wharf,1,1.02,culture,(190 PBS:10 DNA)
Pierce Venable,2019,9,17,FW 2,Fisherman's Wharf,1,5.66,culture,(190 PBS:10 DNA)
Pierce Venable,2019,9,17,FW 3,Fisherman's Wharf,1,0.246,culture,(190 PBS:10 DNA)
Pierce Venable,2019,11,17,FW 1,Fisherman's Wharf,1,2.92,culture free,
Pierce Venable,2019,11,17,FW 2,Fisherman's Wharf,1,2.39,culture free,
Pierce Venable,2019,11,17,FW 3,Fisherman's Wharf,1,2.21,culture free,
Pierce Venable,2019,11,17,OB 1,Ocean Beach,1,2.73,culture free,
Pierce Venable,2019,11,17,OB 2,Ocean Beach,1,2.78,culture free,
Pierce Venable,2019,11,17,OB 3,Ocean Beach,1,3.05,culture free,
Sofia Chavez,2019,9,10,HP1,Surface Water,1,1.28,culture,HP1_1
Sofia Chavez,2019,9,10,HP1,Surface Water,1,1.79,culture,HP1_2
Sofia Chavez,2019,9,10,HP1,Surface Water,1,2.01,culture,HP1_3
Sofia Chavez,2019,9,10,HF1,Drinking Water,100,1.45,culture,HF1_100
Sofia Chavez,2019,9,10,LP1,Surface Water,100,2.07,culture,LP1_100
Sofia Chavez,2019,9,10,HF1,Drinking Water,1,NA,culture,HF1_100; out of range;too low
Kris Choi,2019,9,10,1A,Refrigerated,1,10.5,culture,Sample #1
Kris Choi,2019,9,10,1A,Refrigerated,100,25.5,culture ,Sample #2
Kris Choi,2019,9,10,2A,Refrigerated,1,7.56,culture,Sample #3
Kris Choi,2019,9,10,2A,Refrigerated,1,15.1,culture,Sample #4
Kris Choi,2019,9,10,3A,Refrigerated,1,12.4,culture,Sample #5
Kris Choi,2019,9,10,3A,Refrigerated,1,14.3,culture,Sample #6
Kris Choi,2019,9,11,1A,Refrigerated,1,2.14,culture free,
Kris Choi,2019,9,11,1B,Room temperature,1,3.39,culture free,
Kris Choi,2019,9,11,2A,Refrigerated,1,2.11,culture free,
Kris Choi,2019,9,11,2B,Room temperature,1,2.17,culture free,
Kris Choi,2019,9,11,3A,Refrigerated,1,1.1,culture free,
Kris Choi,2019,9,11,3B,Room temperature,1,4.62,culture free,
Angela_Jocson,2019,9,10,1a,Nursing Student,100,5.13,culture,
Angela_Jocson,2019,9,10,2a,Nursing Student,100,8.09,culture,
Angela_Jocson,2019,9,10,3a,Nursing Student,100,9.75,culture,
Angela_Jocson,2019,9,10,1b,Regular Student,1,7.08,culture,
Angela_Jocson,2019,9,10,2b,Regular Student,1,7.4,culture,
Angela_Jocson,2019,9,10,3b,Regular Student,1,10.8,culture,
Angela_Jocson,2019,9,11,1a,Nursing Student,1,6.05,culture free,
Angela_Jocson,2019,9,11,2a,Nursing Student,1,5.52,culture free,
Angela_Jocson,2019,9,11,3a,Nursing Student,1,4.83,culture free,
Angela_Jocson,2019,9,11,1b,Regular Student,1,5.91,culture free,
Angela_Jocson,2019,9,11,2b,Regular Student,1,5.23,culture free,
Angela_Jocson,2019,9,11,3b,Regular Student,1,4.34,culture free,
Shreya Barma,2019,9,10,AG,Student,1,4.72,culture,
Shreya Barma,2019,9,10,JI,Student,1,8.37,culture,
Shreya Barma,2019,9,10,SB 1-10,Student,10,6.21,culture,
Shreya Barma,2019,9,10,Prof SS 1-10,Professor,10,7.02,culture,
Shreya Barma,2019,9,10,Prof NT 1-10,Professor,10,5.49,culture,
Shreya Barma,2019,9,10,Prof EY ,Professor ,1,11.3,culture,
aaron_parayno,2019,9,10,OB1,Ocean Beach,100,7.02,culture,
aaron_parayno,2019,9,10,OB2,Ocean Beach,1,6.4,culture,
aaron_parayno,2019,9,10,OB3,Ocean Beach,1,152,culture,
aaron_parayno,2019,9,10,BB1,Baker Beach,10,17.2,culture,
aaron_parayno,2019,9,10,BB2,Baker Beach,1,119,culture,
aaron_parayno,2019,9,10,BB2*,Baker Beach,1,4.19,culture,
aaron_parayno,2019,9,17,OB1,Ocean Beach,1,2.54,culture free,
aaron_parayno,2019,9,17,OB2,Ocean Beach,1,1.94,culture free,
aaron_parayno,2019,9,17,OB3,Ocean Beach,1,3.36,culture free,
aaron_parayno,2019,9,17,BB1,Baker Beach,1,2.68,culture free,
aaron_parayno,2019,9,17,BB2,Baker Beach,1,2.98,culture free,
aaron_parayno,2019,9,17,BB3,Baker Beach,1,3.73,culture free,
Gillian Ochoa,2019,9,10,SW ,Still Water ,10,9.53,culture,
Gillian Ochoa,2019,9,10,SN ,Still Water ,10,6.43,culture,
Gillian Ochoa,2019,9,10,RB ,Running Water  ,1,9.11,culture,
Gillian Ochoa,2019,9,10,RE ,Running Water  ,10,13.1,culture,
Gillian Ochoa,2019,9,10,RM,Running Water  ,10,12.7,culture,
Gillian Ochoa,2019,9,10,SNE,Still Water ,100,7.96,culture,
Gillian Ochoa ,2019,9,17,SW ,Still Water ,10,4.27,culture free,
Gillian Ochoa ,2019,9,17,RM,Running Water  ,10,4.29,culture free,
Gillian Ochoa ,2019,9,17,RE ,Running Water  ,10,7.39,culture free,
Gillian Ochoa ,2019,9,17,RB ,Running Water  ,1,5.21,culture free,
Gillian Ochoa ,2019,9,17,SN,Still Water ,10,6.24, culture free,
Gillian Ochoa ,2019,9,17,SNE,Still Water ,100,4.82,culture free,
Adelle Sumabat,2019,9,10,1P,Public Restroom,10,8.51,culture,
Adelle Sumabat,2019,9,10,1P,Public Restroom,100,7.8,culture,
Adelle Sumabat,2019,9,10,2P,Public Restroom,1,16,culture,
Adelle Sumabat,2019,9,10,2P,Public Restroom,10,49.7,culture,
Adelle Sumabat,2019,9,10,3H,Personal Bathroom,10,16.4,culture,
Adelle Sumabat,2019,9,10,3H,Personal Bathroom,100,6.33,culture,
Adelle Sumabat,2019,9,11,1P,Public Restroom,1,3.79,culture free,
Adelle Sumabat,2019,9,11,2P,Public Restroom,1,4.22,culture free,
Adelle Sumabat,2019,9,11,3P,Public Restroom,1,7.54,culture free,
Adelle Sumabat,2019,9,11,1H,Personal Bathroom,1,15.7,culture free,
Adelle Sumabat,2019,9,11,2H,Personal Bathroom,1,7.38,culture free,
Adelle Sumabat,2019,9,11,3H,Personal Bathroom,1,2.97,culture free,
Sindy Mancuso ,2019,9,10,TARG CH,Chicken ,10,11.6,culture,1-10
Sindy Mancuso ,2019,9,10,ORG LUCK CH,Chicken ,1,10.3,culture,
Sindy Mancuso ,2019,9,10,TARG STK,Steak,100,4.33,culture,1-100
Sindy Mancuso ,2019,9,10,OG LUCK STK,Steak,1,8.55,culture,
Sindy Mancuso ,2019,9,10,TJS CH,Chicken ,100,5.46,culture,1-100
Sindy Mancuso ,2019,9,10,TARG STK,Steak,10,6.57,culture,1-10
Sindy Mancuso,2019,9,11,TARG CH,Chicken ,1,NA,culture ,out of range/too low
Sindy Mancuso,2019,9,11,OG LUCK CH,Chicken ,1,1.27,culture ,
Sindy Mancuso,2019,9,11,TJS STK,Steak,1,2.74,culture ,
Sindy Mancuso,2019,9,11,OG LUCK STK,Steak,1,NA,culture ,out of range/too low
Sindy Mancuso,2019,9,11,TJS CH,Chicken ,1,1.15,culture ,
Sindy Mancuso,2019,9,11,TARG STK,Steak,1,1.18,culture ,
Shreya Barma ,2019,9,11,AG,Student ,1,4.59,culture free,
Shreya Barma ,2019,9,11,JI,Student ,1,6.07,culture free,
Shreya Barma ,2019,9,11,SB,Student ,1,9.22,culture free,
Shreya Barma ,2019,9,11,Prof NT,Professor,1,3.54,culture free,
Shreya Barma ,2019,9,11,Prof SS,Professor,1,2.11,culture free,
Shreya Barma ,2019,9,11,Prof EY,Professor,1,7.45,culture free,
